contract,script_sha256,target,held_out_beta,n,seed,train_rows,test_rows,n_iter,prediction_contract
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.0,20,2026,10500,1500,40,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.0,20,3407,10500,1500,41,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,7,42,10500,1500,50,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,7,2026,10500,1500,51,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,7,3407,10500,1500,35,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,7,42,10500,1500,50,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,7,2026,10500,1500,71,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,7,3407,10500,1500,42,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,10,42,10500,1500,44,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,10,2026,10500,1500,53,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,10,3407,10500,1500,42,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,10,42,10500,1500,50,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,10,2026,10500,1500,55,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,10,3407,10500,1500,58,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,15,42,10500,1500,32,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,15,2026,10500,1500,45,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,15,3407,10500,1500,47,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,15,42,10500,1500,44,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,15,2026,10500,1500,43,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,15,3407,10500,1500,39,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,20,42,10500,1500,33,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,20,2026,10500,1500,34,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,4.5,20,3407,10500,1500,37,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,20,42,10500,1500,43,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,20,2026,10500,1500,49,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,4.5,20,3407,10500,1500,43,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,7,42,10500,1500,56,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,7,2026,10500,1500,72,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,7,3407,10500,1500,38,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,7,42,10500,1500,58,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,7,2026,10500,1500,72,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,7,3407,10500,1500,33,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,10,42,10500,1500,44,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,10,2026,10500,1500,49,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,10,3407,10500,1500,85,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,10,42,10500,1500,52,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,10,2026,10500,1500,55,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,10,3407,10500,1500,78,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,15,42,10500,1500,37,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,15,2026,10500,1500,45,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,15,3407,10500,1500,39,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,15,42,10500,1500,41,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,15,2026,10500,1500,47,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,15,3407,10500,1500,48,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,20,42,10500,1500,33,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,20,2026,10500,1500,38,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,5.0,20,3407,10500,1500,40,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,20,42,10500,1500,38,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,20,2026,10500,1500,47,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,5.0,20,3407,10500,1500,41,oracle-centred decision score; no clipping
